,AAPL,MSFT,IBM,GOOG
AAPL,1.0,0.9733833344387931,0.09574194152107897,0.94232363022673
MSFT,0.9733833344387931,1.0,0.0069593571948050915,0.9422291554337592
IBM,0.09574194152107897,0.0069593571948050915,1.0,0.094569038133524
GOOG,0.94232363022673,0.9422291554337592,0.094569038133524,1.0
